10.1.78.157 - - [15/Feb/2019:11:15:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:15:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:17:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:17:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:19:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:19:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:21:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:21:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:23:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:23:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:25:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:25:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:27:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:27:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:29:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:29:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:11:30:19 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:11:30:20 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:31:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:31:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:33:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:33:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:35:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
